rodada,mandante,visitante,gols_m,gols_v,ano
32,Atlético Mineiro,Bahia,3,0,2025
32,Grêmio,Cruzeiro,0,1,2025
32,São Paulo,Flamengo,2,2,2025
32,Fluminense,Mirassol,1,0,2025
32,Ceará,Fortaleza,1,1,2025
32,Palmeiras,Santos Fc,2,0,2025
33,Sport Recife,Atlético Mineiro,2,4,2025
33,Vasco da Gama Saf,Juventude,1,3,2025
33,Internacional,Bahia,2,2,2025
33,São Paulo,Red Bull Bragantino,0,1,2025
33,Corinthians,Ceará,0,1,2025
33,Vitória,Botafogo,0,0,2025
33,Cruzeiro,Fluminense,0,0,2025
33,Flamengo,Santos Fc,3,2,2025
33,Fortaleza,Grêmio,2,2,2025
33,Mirassol,Palmeiras,2,1,2025
34,Botafogo,Sport Recife,3,2,2025
34,Santos Fc,Mirassol,1,1,2025
34,Grêmio,Vasco da Gama Saf,2,0,2025
34,Fluminense,Flamengo,2,1,2025
34,Juventude,Cruzeiro,3,3,2025
34,Bahia,Fortaleza,2,3,2025
34,Corinthians,São Paulo,3,1,2025
34,Ceará,Internacional,1,2,2025
34,Red Bull Bragantino,Vitória,4,0,2025
34,Atlético Mineiro,Palmeiras,0,3,2025
35,Botafogo,Grêmio,3,2,2025
35,Palmeiras,Fluminense,0,0,2025
35,Flamengo,Red Bull Bragantino,3,0,2025
35,São Paulo,Juventude,2,1,2025
35,Bahia,Vasco da Gama Saf,1,0,2025
35,Sport Recife,Vitória,1,3,2025
35,Cruzeiro,Corinthians,3,0,2025
35,Mirassol,Ceará,3,0,2025
35,Internacional,Santos Fc,1,1,2025
35,Fortaleza,Atlético Mineiro,1,0,2025
36,Atlético Mineiro,Flamengo,1,1,2025
36,Grêmio,Palmeiras,3,2,2025
36,Red Bull Bragantino,Fortaleza,0,1,2025
36,Fluminense,São Paulo,6,0,2025
36,Juventude,Bahia,1,1,2025
36,Vasco da Gama Saf,Internacional,5,1,2025
36,Santos Fc,Sport Recife,3,0,2025
36,Vitória,Mirassol,2,0,2025
36,Ceará,Cruzeiro,1,1,2025
36,Corinthians,Botafogo,2,2,2025
37,Red Bull Bragantino,Atlético Mineiro,2,0,2025
37,Palmeiras,Vitória,0,0,2025
37,Vasco da Gama Saf,Mirassol,0,2,2025
37,Grêmio,Fluminense,1,2,2025
37,Fortaleza,Corinthians,2,1,2025
37,Juventude,Santos Fc,0,3,2025
37,Bahia,Sport Recife,2,0,2025
37,São Paulo,Internacional,3,0,2025
37,Flamengo,Ceará,1,0,2025
37,Cruzeiro,Botafogo,2,2,2025
38,Mirassol,Flamengo,3,3,2025
38,Atlético Mineiro,Vasco da Gama Saf,5,0,2025
38,Internacional,Red Bull Bragantino,3,1,2025
38,Vitória,São Paulo,1,0,2025
38,Ceará,Palmeiras,1,3,2025
38,Sport Recife,Grêmio,0,4,2025
38,Fluminense,Bahia,2,0,2025
38,Botafogo,Fortaleza,4,2,2025
38,Corinthians,Juventude,1,1,2025
38,Santos Fc,Cruzeiro,3,0,2025
